Date,Open,High,Low,Close,Volume
8/8/2016,59,59.14,58.12,58.74,7626603
8/5/2016,57.89,58.23,57.61,58.2,9289735
8/4/2016,56.46,57.49,56.35,57.23,6817803
8/3/2016,55.97,56.3,55.66,56.19,7495709
8/2/2016,57,57.03,55.5,56.04,7068720
8/1/2016,57.34,57.55,56.36,56.73,7527970
7/29/2016,56.39,57.25,55.38,57.1,10239664
7/28/2016,56.19,56.6,56.01,56.18,5547934
7/27/2016,57.12,57.22,55.72,56.06,11166886
7/26/2016,56.17,56.92,56.09,56.63,12862739
7/25/2016,55,55.81,54.76,55.68,7813211
7/22/2016,53.41,54.67,53.02,54.67,7894165
7/21/2016,54.1,54.27,53.04,53.22,9032697
7/20/2016,53.7,54.5,53.48,54.22,7411502
7/19/2016,52.94,53.73,52.84,53.52,9566250
7/18/2016,53.35,53.43,52.77,52.97,6324838
7/15/2016,52.64,52.94,51.84,52.7,10715357
7/14/2016,53.06,53.8,52.62,53.32,7922283
7/13/2016,52.9,53.2,52.7,52.78,8115130
7/12/2016,52.6,53.28,51.94,52.8,10919045
7/11/2016,51.58,52.4,51.52,52.02,11219437
7/8/2016,49.41,51.09,49.22,50.85,12048273
7/7/2016,47.97,49.06,47.75,48.89,9884992
7/6/2016,47.02,47.92,46.78,47.65,6827594
7/5/2016,46.4,47.43,46.03,47.35,9277061
7/1/2016,46.75,47.36,46.5,46.66,5462198
6/30/2016,46.73,47.3,46.35,47.01,10773475
6/29/2016,46.3,47.01,46.18,46.65,7973264
6/28/2016,46.1,46.15,45.27,45.9,9547980
6/27/2016,45.35,45.7,44.57,45.24,11258487
6/24/2016,46.5,47.36,45.3,45.73,25442111
6/23/2016,47.68,48.54,47.65,48.49,7446994
6/22/2016,47.37,47.68,47.15,47.23,5065516
6/21/2016,47.76,47.89,47.2,47.27,5312661
6/20/2016,47.47,48.17,47.44,47.56,7344230
6/17/2016,47.61,47.62,46.53,46.72,11775048
6/16/2016,47.01,47.63,46.55,47.55,6161428
6/15/2016,47.27,47.77,46.75,47.36,7525868
6/14/2016,46.68,47.1,46.16,46.88,7458639
